gender,age,interest,Impressions,Clicks,Spent,Approved_Conversion
F,35-39,41,364,6,43.13288311261312,1
M,30-34,6,2426,23,68.33534228886471,0
F,40-44,1,9282,106,1001.4983076481973,3
F,40-44,41,4428,47,260.1845138722903,1
M,35-39,23,8499,108,906.9384971386661,4
M,45-49,3,624,6,23.80760452813847,0
F,45-49,43,9794,92,133.58471907015846,1
M,35-39,18,5635,42,289.8109474406187,1
M,45-49,25,5542,56,32.12813291550982,0
M,30-34,10,8999,118,591.8034267299348,2
M,30-34,39,2860,33,76.94339648593497,0
F,30-34,49,8184,74,478.04497961805964,3
F,45-49,42,9346,92,902.0129691224828,1
F,40-44,10,5720,49,240.67955289226072,1
F,30-34,44,7765,56,462.90907247165467,1
F,35-39,2,6617,75,399.29623320267376,4
M,40-44,11,3509,28,145.8934482736704,0
F,30-34,2,6167,52,485.6292056303162,2
F,45-49,41,4042,33,295.5042998520846,1
F,40-44,26,7887,78,621.278144704289,1
F,35-39,48,253,4,13.257718626037796,0
M,45-49,1,2825,26,147.6170786838133,1
M,35-39,48,2042,23,60.42154547729217,1
M,45-49,15,2293,17,80.19254673451618,1
M,40-44,1,8548,84,428.40202647631287,1
F,40-44,29,1737,20,168.01160763217285,1
F,30-34,19,4159,41,369.5030482940848,0
M,45-49,37,1910,16,71.02224948426463,0
F,35-39,27,5226,54,36.08238032257069,2
M,30-34,24,772,10,86.8685147799887,0
M,30-34,31,9021,82,176.76309055256,3
M,35-39,9,8770,78,499.8145352427816,2
M,35-39,41,4943,42,30.963389273218347,2
F,40-44,39,393,6,25.771869089852167,0
M,45-49,32,5448,48,473.59789776459945,1
F,30-34,12,8450,105,152.9418671010436,3
F,40-44,40,4786,45,203.62882247984706,0
M,30-34,41,3456,29,99.11981127733182,0
F,45-49,46,9553,96,873.4403685300971,6
F,40-44,36,969,9,78.82857922607886,0
M,35-39,15,5869,58,159.9720169287321,4
F,40-44,44,2094,20,25.425679539581925,0
M,35-39,21,468,3,19.37344423074185,0
M,35-39,19,1799,15,55.43254144342864,1
M,40-44,49,7428,60,413.08810264545593,1
F,35-39,42,1149,12,9.661652191730852,0
F,35-39,26,3442,43,75.99358757000442,1
M,35-39,40,2822,37,259.7598398195841,2
M,40-44,15,6834,73,183.7790494522822,1
F,35-39,33,1595,14,121.0591608763994,0
M,30-34,31,1120,15,15.849201498694299,0
M,40-44,25,6572,79,201.21922808057374,2
F,40-44,24,1900,14,139.80851304851413,0
F,30-34,1,5103,67,309.1529392964935,1
M,30-34,11,2989,18,129.20712846613404,0
F,30-34,39,7244,84,187.7651129878969,0
F,35-39,8,5901,51,320.981402100493,0
M,35-39,11,6723,72,532.6565507646823,2
F,40-44,25,728,10,34.8752804073185,0
M,40-44,8,1038,12,100.49427076525006,1
F,40-44,9,9849,98,610.7817655576957,3
F,35-39,31,1552,21,88.13004041819853,0
F,40-44,33,1839,13,75.36883557788008,0
M,35-39,47,5331,46,275.0444903294989,0
F,45-49,19,5077,44,91.193752346036,2
M,40-44,38,1475,19,82.1931927609874,2
M,30-34,1,6704,61,229.51802575729627,1
M,40-44,0,2490,30,129.25727593505093,1
F,35-39,50,6906,60,463.833035436597,0
F,40-44,35,7417,65,330.46746661067033,1
M,30-34,23,9520,104,981.0323594003933,4
F,30-34,26,2644,22,72.37837039191317,0
M,45-49,1,4739,49,218.0100156916344,0
F,30-34,30,2486,29,231.3066012869759,0
M,40-44,13,5567,55,312.797850010092,2
F,35-39,1,9269,96,546.8896695390963,1
M,40-44,28,6360,68,68.45774530134855,3
F,40-44,14,3589,32,137.17429746641056,0
M,35-39,11,3533,31,95.23108419820022,0
M,35-39,36,7421,68,679.5704893489005,2
M,30-34,27,2291,16,54.86997073611116,0
F,30-34,19,6428,60,534.1630248325022,1
F,35-39,38,2815,24,166.18129158922886,0
M,40-44,23,9415,101,377.6092946198108,0
F,45-49,20,4961,46,260.52452334949203,0
F,45-49,9,453,7,59.39563601662138,1
F,40-44,45,3432,39,346.7879544204528,1
F,40-44,13,4213,40,80.94967250233518,1
M,40-44,36,7680,66,245.91235953752235,1
M,35-39,17,137,0,0.0,0
F,45-49,23,9400,103,92.64083296031188,2
F,40-44,13,5866,57,352.445746959802,3
F,35-39,33,5520,63,543.1098017158245,2
M,30-34,11,6326,61,251.62235774488758,2
M,35-39,21,5789,46,346.3957079580853,0
F,35-39,5,4323,39,252.06300323907413,1
F,45-49,35,9623,106,431.27827664145184,2
F,35-39,44,6573,86,158.24585618520672,4
F,35-39,35,5053,45,325.73594706172605,0
F,45-49,21,8088,80,689.4695283953428,1
M,30-34,13,6656,68,477.06200209136375,1
M,35-39,15,2114,24,16.07629435993852,0
F,30-34,35,5365,51,130.26483733243526,0
F,40-44,24,367,2,2.3201197127871063,0
M,45-49,31,1552,20,118.37335891948308,0
M,35-39,32,6180,77,591.8634220717616,3
F,45-49,44,7469,81,125.59068444933342,3
M,35-39,35,2092,14,118.49893013892023,0
M,45-49,19,4648,46,265.7574235588262,1
F,40-44,17,168,2,14.109411230692773,0
F,40-44,37,759,12,116.73981074138567,1
F,30-34,2,3607,32,41.43902042729999,0
M,45-49,22,3300,35,317.15698764011495,0
F,40-44,31,8111,84,142.62995139795262,1
M,35-39,44,8659,108,457.175735609236,2
M,40-44,15,2653,18,154.59601707262055,0
F,35-39,4,1151,11,100.20356773910723,0
F,45-49,3,4471,40,212.42123594715522,1
F,30-34,20,7907,103,632.8313885525035,3
F,40-44,39,8227,97,701.0577688325704,1
F,35-39,50,6132,66,555.1396851198518,1
M,30-34,13,6708,80,132.3484888486263,3
M,30-34,38,2311,21,172.1088269917309,0
M,30-34,30,8071,86,436.2026149679909,3
M,35-39,13,558,3,14.342767615582815,0
F,35-39,5,2429,31,140.338476963116,1
M,35-39,11,8929,82,437.6758249066672,2
F,35-39,15,4802,50,473.8990128624367,1
F,35-39,16,9534,105,599.3332633601713,4
F,40-44,44,5545,52,496.86970390199076,0
F,30-34,22,3259,27,59.74441850291181,0
F,45-49,13,7448,63,464.89538333133095,1
F,45-49,6,6793,69,566.9230175580338,2
M,40-44,45,5698,56,389.2965382701465,0
F,35-39,31,5221,58,363.41417640482376,2
M,45-49,14,7940,71,416.4662208426299,1
M,30-34,43,374,5,43.394197922488054,0
F,30-34,16,3607,41,340.5313495955728,1
M,30-34,40,3637,28,46.528799834039475,0
F,40-44,46,201,1,8.561582741793343,0
F,30-34,43,1004,11,48.770170731526235,0
F,35-39,33,4404,36,104.76431585856729,0
M,45-49,4,7210,83,727.3125158789805,2
M,45-49,44,9433,78,359.1303765286026,2
F,35-39,26,737,5,40.89732278339879,0
M,30-34,22,8551,76,228.17740783211974,1
F,40-44,39,9744,91,48.89689836950729,1
F,35-39,13,3177,25,130.1715583144493,0
F,30-34,14,6813,76,110.36480129616244,4
M,30-34,42,3445,34,260.6634336345458,1
M,45-49,32,9055,91,284.1669551320053,0
F,40-44,30,895,6,28.28780185639829,0
M,40-44,34,1214,9,11.941369815327887,1
M,45-49,16,5954,48,154.71661729194722,1
F,35-39,27,5410,57,451.6769667245167,1
F,35-39,18,404,3,5.8202554892161045,0
F,35-39,45,1922,14,93.07222162988533,0
F,35-39,22,2074,22,202.74200323614073,0
M,35-39,31,2867,21,146.1274335716652,2
F,40-44,39,3882,35,287.1647116896654,1
F,40-44,12,8307,82,125.8888992277504,0
M,45-49,19,2631,27,77.81271336952696,0
F,35-39,34,9632,93,836.8250759545622,1
F,40-44,4,9372,88,641.8282929847226,3
F,40-44,8,2536,24,157.81827241402695,0
F,35-39,28,9076,88,598.9089913977413,0
F,40-44,5,8468,76,337.05280020795254,4
M,30-34,24,2493,21,19.389048007721815,0
M,35-39,30,8969,89,707.7453238208013,0
F,30-34,21,1086,10,69.47775744045862,0
F,35-39,1,8734,92,459.23110163452134,1
F,35-39,44,7485,86,778.1036057558663,1
F,40-44,4,1598,17,62.78978589509347,1
F,45-49,26,9385,90,296.6450913177067,3
F,40-44,24,5115,42,369.2457337066977,1
F,40-44,7,6546,53,427.7832841711492,1
F,35-39,0,6233,51,275.007718259123,1
F,40-44,19,4007,32,55.74336079518639,0
F,30-34,43,3457,33,83.92490630429394,0
F,35-39,22,689,7,47.13916136218565,1
M,35-39,31,222,2,8.315783518967821,0
M,35-39,10,5716,71,599.7011677786977,0
M,30-34,38,4404,25,238.11431471639847,0
F,30-34,46,4009,46,375.06333634513925,1
M,35-39,23,8758,88,359.62797362428574,0
M,45-49,10,8764,101,807.2446288475513,1
F,35-39,28,2936,32,122.83826873508777,0
M,35-39,25,2214,22,45.923918343017476,1
F,30-34,15,3995,37,30.237711510348873,0
M,40-44,34,5285,68,283.1729964436189,1
M,35-39,19,7796,78,708.5374440396859,2
F,30-34,45,2640,34,94.1926678450835,2
M,35-39,2,7804,77,189.564380146137,1
M,30-34,0,4984,53,514.8047653688639,0
F,30-34,46,4126,49,36.139414531950635,1
F,30-34,0,5235,56,446.0361040094773,2
M,30-34,16,1143,12,42.63617495445922,0
F,30-34,1,3930,44,37.6699659715176,1
M,35-39,28,6609,72,663.7769375033552,0
M,40-44,19,2835,22,40.18524701380298,0
F,35-39,5,6115,61,350.2560949190405,1
F,35-39,7,6589,73,226.5565928523914,1
F,35-39,28,1624,15,16.789974311318474,1
F,45-49,47,5726,65,63.32713489713659,1
F,35-39,50,8110,74,118.23635928194616,1
F,30-34,32,4040,34,40.05154548626976,0
M,40-44,2,5260,49,378.5398027745241,1
F,30-34,34,4895,51,260.75682500632144,0
M,35-39,4,9335,97,364.4750621780848,4
M,35-39,26,1239,12,53.69405575504882,2
M,45-49,43,2739,23,214.4748617226182,0
M,35-39,11,4145,50,457.60711105061995,0
F,40-44,19,1925,21,153.2774577844541,0
F,45-49,44,7818,71,632.2182635709285,2
F,30-34,19,3456,38,134.39293795913255,1
M,35-39,8,3982,35,144.21885089775404,2
M,35-39,38,9849,95,601.3752441234408,3
M,35-39,3,8290,80,513.9557199459207,1
M,35-39,50,5458,56,284.2643138225654,1
F,45-49,18,3911,35,150.71873460561946,1
F,40-44,37,7456,67,661.2037683389344,1
F,40-44,26,2883,32,265.62158233978823,0
M,35-39,44,5335,42,194.55709895733003,1
F,40-44,42,9639,94,696.4721821749347,2
F,45-49,12,7695,73,223.44103427058064,2
F,40-44,12,9073,68,98.7093847493151,2
F,30-34,21,4827,50,192.4047371375518,1
M,40-44,27,2785,29,125.51900643399509,1
M,30-34,46,8323,90,59.13924149937354,2
M,35-39,44,8328,90,741.6471613986912,2
F,30-34,21,6418,65,254.3019259753196,1
M,40-44,42,871,7,42.09780802437977,0
M,40-44,18,7575,75,90.19877093055612,0
M,30-34,7,212,2,4.324939746261095,0
M,35-39,7,7827,72,644.550508124051,2
F,35-39,41,1982,20,125.65063029773215,2
F,35-39,25,3585,42,400.1633360180237,0
M,30-34,47,6006,56,559.3350182961806,1
M,35-39,50,3496,32,129.0454750612607,0
F,40-44,25,2840,30,100.15887326373326,0
M,30-34,22,2757,20,173.08765048022838,1
M,30-34,42,8009,74,739.0238332073303,1
M,35-39,12,3983,43,278.7084441839588,1
M,45-49,27,3435,38,306.04580082665956,1
F,40-44,8,6686,67,531.0812391359223,1
F,40-44,19,972,10,38.75727228085696,1
M,35-39,18,8139,81,482.4010576078286,1
M,35-39,47,9824,86,723.6075210128625,1
F,30-34,38,614,8,56.29665459584022,1
F,40-44,50,3308,35,24.53696814902772,2
F,45-49,11,2550,27,99.86500407221735,0
F,40-44,14,4616,52,97.37099411773504,0
M,45-49,30,9229,107,290.31625357732673,0
M,40-44,13,6931,52,473.3118018807148,0
F,30-34,10,3686,37,31.467991052135,3
M,45-49,25,6080,76,196.69611403650893,2
F,30-34,41,273,3,10.322726538789597,0
F,35-39,26,6347,51,324.3803328677183,2
F,30-34,10,400,5,27.869830279078613,0
M,30-34,37,7364,78,200.7376867943591,1
F,35-39,33,1978,17,35.024932356539445,1
M,35-39,42,7793,89,244.71273825101846,3
F,35-39,18,8590,63,332.2639815809409,2
F,35-39,5,4782,50,153.80944821282162,1
M,30-34,45,1067,9,85.52001388746024,0
F,30-34,37,2276,37,181.5486253322399,0
F,35-39,48,7256,82,86.80209688827229,2
M,35-39,41,7220,65,482.8220056041211,4
M,40-44,27,6257,69,250.0580864209927,1
M,40-44,0,2469,30,201.24434563660054,1
M,40-44,34,6290,58,183.05649815830083,1
M,40-44,39,1943,16,94.75304874346462,0
F,35-39,7,5372,64,501.4687229229385,2
M,40-44,46,7768,100,931.6083046858262,1
M,35-39,6,6928,72,214.6109667922247,2
F,35-39,10,1175,11,40.49255137939353,0
M,40-44,38,3167,41,201.3317707013735,2
F,35-39,3,4211,38,353.710116422692,0
M,40-44,24,4092,32,290.02160447043974,0
M,40-44,11,4483,40,54.15374643824245,0
F,45-49,25,8688,83,145.52666760687987,4
F,45-49,37,2708,28,145.80544116994977,1
F,35-39,45,3533,32,48.412258932848744,1
F,35-39,11,2994,27,102.1414940139409,0
F,35-39,42,7260,77,147.0439041660849,1
M,35-39,50,7703,71,464.509219536457,0
M,40-44,36,8837,87,828.2579743324171,2
F,40-44,45,2036,16,159.50353308474598,0
F,40-44,23,1124,13,52.84227986336899,2
F,35-39,15,4355,42,260.0060422087303,2
M,30-34,12,3057,30,259.0362812543632,0
M,35-39,24,1019,8,12.927117532525184,0
F,30-34,3,8822,72,507.662057159544,2
M,45-49,10,2874,24,105.21635487331555,0
F,35-39,31,1261,13,31.959050794600262,0
F,30-34,48,279,1,4.326159378100699,0
M,30-34,6,4334,45,54.97302267750195,1
F,40-44,45,3235,35,248.72287690594416,1
F,40-44,10,551,3,8.703166059330911,0
M,35-39,27,98,1,3.458353627926341,0
F,30-34,40,3616,39,64.36062099846194,1
F,35-39,22,3105,38,331.14194011425093,1
F,35-39,44,8930,86,446.14397617399743,1
M,40-44,22,436,7,41.54776737279562,0
F,40-44,49,1019,10,59.096104894011184,1
M,35-39,27,9247,106,466.3665663431311,5
M,30-34,42,5870,74,172.34853055301204,5
F,45-49,46,3102,31,234.94159443277877,1
M,35-39,25,7447,66,112.66427837926182,0
M,40-44,24,2352,24,35.6832241835688,0
F,30-34,28,2333,20,144.92755714333563,0
F,35-39,18,9849,100,248.39516942938462,1
F,30-34,32,4416,50,170.71705689259537,3
F,35-39,35,172,4,20.058643746066128,0
M,45-49,13,6849,69,329.04978811621754,2
M,35-39,13,9522,102,737.6131721879842,1
M,30-34,34,3777,31,199.1006631690698,2
F,30-34,29,8500,93,615.8240093760284,3
F,35-39,27,9189,82,597.2483235806012,0
F,30-34,16,5008,48,157.4314037051002,2
F,30-34,2,574,2,7.124332924208999,0
M,40-44,15,9129,87,405.50513863567545,0
F,35-39,45,8449,83,283.9339234369353,2
M,35-39,29,198,1,9.856909755223203,0
F,45-49,28,8051,96,790.4153568963438,0
M,30-34,44,487,5,10.321097692161405,0
F,45-49,14,3799,43,23.785212677743694,4
M,35-39,45,8236,83,75.2346070129707,2
M,45-49,24,4503,61,171.9347698793752,2
M,40-44,50,5386,48,76.11682634160658,0
F,40-44,37,4601,47,261.63546829953344,0
F,45-49,41,2873,24,207.62291078183776,0
M,35-39,46,5778,62,464.9458801178909,0
M,45-49,37,8727,102,259.92518212664254,1
F,35-39,22,8441,96,412.16092149551673,1
M,35-39,24,2032,20,106.49989981094274,0
F,35-39,41,7046,81,663.9534011928167,1
F,35-39,6,9713,109,923.4104200164336,3
M,30-34,21,2361,18,164.5618313362297,0
M,35-39,16,7275,68,362.9724318248574,1
F,35-39,17,9763,98,695.3697889317884,0
M,40-44,48,654,6,9.372621160334418,0
M,40-44,40,8225,91,534.1923058802175,0
F,35-39,9,5835,59,168.89175920857124,4
F,35-39,9,9659,94,432.5231783287637,3
F,35-39,6,4647,40,260.93919315655336,1
F,30-34,47,7809,73,214.7197479015972,0
M,30-34,49,7582,76,75.6776117292615,2
M,35-39,37,8790,97,57.93049868067004,3
F,35-39,26,888,12,8.526187052075457,0
F,45-49,32,3865,30,17.379675191424354,1
M,35-39,0,897,13,20.12884948489762,1
F,35-39,43,4759,48,133.20685384397922,2
M,35-39,33,4557,42,109.26738415873739,2
F,30-34,3,6625,58,572.7249233931232,2
M,35-39,16,4823,49,166.94584197476306,3
M,40-44,3,4518,49,83.81437465380029,1
M,35-39,42,5242,50,284.142208479685,1
M,35-39,25,3370,41,354.67442887732955,1
M,45-49,3,4748,51,354.0202525536286,1
F,45-49,0,4361,41,135.8239737182579,4
F,40-44,6,3723,36,210.0727266486776,0
F,35-39,29,1614,10,72.91131754903887,0
F,40-44,49,1890,30,222.50978032480657,0
M,30-34,8,6108,55,375.76634289304246,0
M,35-39,34,7181,75,657.9524276526278,1
F,30-34,7,776,11,96.4260203969589,0
M,35-39,23,9486,98,587.98993680792,0
F,35-39,18,6747,68,311.68721444584315,2
M,30-34,35,9307,89,586.9476849002918,2
F,45-49,49,332,1,8.2730140130194,0
M,45-49,42,1131,7,3.8758649719387845,0
F,40-44,26,3935,44,436.65474976820775,1
F,35-39,31,2931,22,49.224798416802635,1
F,45-49,13,3020,37,183.7925184594816,2
M,30-34,17,9394,82,720.3111634425932,3
F,40-44,27,7035,76,200.47916810991194,4
F,30-34,28,997,10,50.295546270536406,0
F,40-44,15,4810,46,80.9384127391753,2
F,35-39,34,9959,108,459.34830984828557,3
F,45-49,46,116,1,2.182786820533524,0
M,45-49,30,8878,63,249.13120763953745,0
F,30-34,3,8555,94,380.5035455959008,5
F,35-39,36,614,7,69.54585750828912,0
F,45-49,16,9843,90,895.5651400547252,3
M,35-39,38,9067,82,130.41851107661708,0
M,45-49,47,3720,31,229.29780551219824,0
F,35-39,45,9267,97,96.1834595150767,1
F,35-39,25,2301,28,22.031076079692173,0
M,35-39,47,854,6,9.004031971962966,0
F,30-34,38,4681,38,367.5403221798642,1
M,40-44,40,9633,104,981.573185319961,0
M,35-39,3,1285,12,28.107771511997573,0
M,35-39,29,6770,61,124.18911845337584,0
M,35-39,29,6956,76,211.66633246451374,2
F,35-39,21,6066,60,323.861786622831,0
M,45-49,10,3599,32,189.1902081387646,0
F,45-49,1,7988,65,169.33394329635874,1
F,35-39,43,4191,52,399.77165731643294,1
F,40-44,11,7016,73,251.17512298073828,0
F,40-44,29,9596,93,861.203026105234,1
M,35-39,35,5385,55,370.6376141236417,0
F,45-49,17,5127,59,274.07484440717434,4
F,30-34,25,5661,59,472.24567695444483,1
M,30-34,6,8139,80,661.6151157954653,2
F,45-49,0,2942,25,81.48938133212411,0
F,35-39,25,5627,50,186.36440832214006,1
F,40-44,22,3668,40,375.6629584168693,0
F,45-49,25,1609,22,45.430877017923834,0
F,30-34,44,6733,59,53.125308707724614,1
M,45-49,5,1557,18,86.64346016623291,0
F,35-39,5,2113,18,146.00689294166054,0
F,35-39,43,3692,40,313.2338803980834,1
M,40-44,7,2050,25,230.88852436679775,3
M,45-49,23,1344,13,72.35028204957646,0
M,30-34,21,4115,35,50.77150329587233,1
F,35-39,18,8064,80,487.40362049537225,4
F,40-44,36,9995,100,789.475833635551,3
M,40-44,17,1653,20,27.732342851267013,0
F,40-44,30,1372,13,27.82318903555234,0
M,30-34,36,6006,61,37.62243813971129,0
F,35-39,29,2491,30,184.19098514234096,0
F,35-39,41,1148,9,80.31579051137483,0
F,40-44,32,5123,53,364.1789796070571,0
M,35-39,9,9747,103,1012.426225707776,2
M,30-34,36,9368,101,110.9807895735212,1
M,45-49,11,8538,80,726.2808247151372,2
M,30-34,29,3837,37,304.6450030164183,0
F,45-49,26,2146,31,108.0441277871042,0
F,40-44,38,2258,20,194.97004484907785,0
F,40-44,8,6038,52,168.24124759667902,0
F,35-39,20,225,2,17.89678975273615,0
F,30-34,11,7219,65,576.362246343312,4
F,40-44,28,6064,50,384.88736788641194,0
F,40-44,32,1717,13,76.08860351588721,0
F,40-44,42,8917,90,147.60235092243929,3
M,30-34,14,1873,27,149.9507498983518,0
M,40-44,1,5197,57,221.70517243714707,2
M,40-44,38,1406,11,88.28667996473426,0
F,40-44,43,3122,33,254.17350623676086,0
F,40-44,17,3309,29,265.3737457811527,0
M,40-44,2,6249,67,42.939398387782056,1
F,40-44,6,596,5,40.93240279909469,0
F,30-34,42,5281,54,508.4310332529551,2
M,35-39,17,8015,78,623.8716327891392,2
M,30-34,43,2133,22,38.21064211290664,1
F,35-39,37,2090,19,24.170878423780238,1
F,35-39,36,4584,38,26.525131570579994,0
F,30-34,32,1802,14,90.62311503513345,0
F,35-39,43,9857,103,667.6346898448998,2
F,30-34,30,1899,21,207.38928598653337,1
F,40-44,10,2692,29,124.16089446567838,0
F,45-49,3,1650,23,84.02152325010304,1
F,30-34,17,4452,49,315.16980360433473,2
M,45-49,3,3849,47,392.1342722746407,1
M,35-39,48,668,6,56.39611512281111,0
M,35-39,33,1182,12,97.5561549444104,0
F,30-34,28,5541,55,250.43715487175797,1
F,35-39,23,5845,49,320.05257653776584,1
F,40-44,21,7683,69,595.8042086624147,4
M,40-44,1,1537,15,77.41188058442287,0
M,30-34,43,7898,88,225.1500341377083,1
M,30-34,5,5059,57,120.40524262347321,1
M,35-39,41,9799,94,47.14086590820466,0
F,35-39,24,2163,19,139.14195809412183,0
M,30-34,20,1094,12,18.66508180844292,1
M,35-39,15,2481,19,53.51295749511725,0
F,40-44,30,8029,76,253.0667113594568,0
M,45-49,13,1632,4,23.294434685197196,0
F,35-39,38,1358,9,38.52534720878827,0
F,45-49,27,4967,60,414.56417545320227,2
M,35-39,31,8843,83,85.37108288068208,3
F,35-39,27,1670,18,30.193602219219148,0
F,30-34,50,7553,95,498.0383819387732,4
F,40-44,48,4816,51,188.75943971178904,1
M,45-49,8,5412,53,175.44202814530962,1
F,40-44,44,5242,46,52.29127053939743,1
F,35-39,21,6672,60,540.5599296063608,0
M,40-44,31,6143,58,410.192040954903,3
M,30-34,4,6754,72,119.18681926464018,0
F,45-49,22,150,1,1.1179365985028358,0
F,35-39,4,6707,78,761.3805472725511,3
M,35-39,41,5925,73,508.89316372979664,2
F,35-39,31,4321,40,178.63330701562177,2
M,40-44,9,287,2,14.332889774359913,0
M,30-34,38,7276,72,553.3309419524288,1
M,40-44,14,8082,85,672.3194784289393,4
M,30-34,6,5268,57,287.2705610111307,0
M,40-44,28,4075,35,160.43601707651197,2
M,40-44,46,6123,70,42.33367603881872,0
F,40-44,2,2592,30,279.06877781542386,1
M,35-39,18,1587,19,118.39707204920423,0
M,35-39,9,804,8,19.439699226437575,0
F,30-34,27,7446,73,674.2449713687664,3
M,40-44,28,7873,83,762.9238045458786,1
F,35-39,14,5557,60,593.8349736886747,2
M,35-39,34,4285,44,387.35564339209316,2
M,35-39,5,590,3,29.93685505287185,0
M,30-34,11,5560,45,127.10334542269902,2
M,40-44,46,8511,91,773.6247664047379,1
M,30-34,37,7976,72,598.951363216303,0
M,40-44,12,5181,44,118.53307015426671,0
M,35-39,28,8747,67,96.15549993913062,0
M,30-34,18,1179,10,98.04494879937197,0
M,35-39,2,3195,33,109.30369690171135,1
M,30-34,7,8603,85,745.7451208027534,1
M,35-39,7,3770,38,20.489902837532007,0
F,40-44,19,9698,95,66.47488851569099,0
F,30-34,46,4117,42,206.88265216985099,2
